#
# Wall-normal profile of the co-variances <ui*uj> 
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	uu 	vv 	ww 	uv 	uw 	vw
0.163273 	0.0081313 	0.00272411 	0.00386999 	-5.16256e-05 	4.8505e-07 	2.62443e-05
0.168019 	0.00799426 	0.00272423 	0.0038588 	-4.9147e-05 	2.25766e-06 	2.62803e-05
0.172838 	0.00786973 	0.00272164 	0.00384268 	-4.62358e-05 	6.14784e-06 	2.61195e-05
0.177729 	0.00775888 	0.00271646 	0.00382298 	-4.30649e-05 	1.1507e-05 	2.59115e-05
0.182694 	0.00766149 	0.00270889 	0.00380061 	-3.973e-05 	1.74335e-05 	2.57574e-05
0.187733 	0.00757519 	0.00269925 	0.00377603 	-3.62258e-05 	2.29705e-05 	2.55545e-05
0.192846 	0.00749652 	0.00268795 	0.00374919 	-3.25392e-05 	2.74427e-05 	2.50318e-05
0.198035 	0.00742199 	0.0026754 	0.00371982 	-2.87357e-05 	3.10528e-05 	2.38896e-05
0.203299 	0.00734871 	0.00266199 	0.00368783 	-2.49659e-05 	3.48159e-05 	2.19539e-05
0.20864 	0.00727513 	0.00264803 	0.00365352 	-2.14399e-05 	3.93407e-05 	1.93152e-05
0.214058 	0.00720233 	0.00263374 	0.00361775 	-1.83912e-05 	4.37378e-05 	1.62881e-05
0.219554 	0.00713374 	0.00261925 	0.00358158 	-1.60413e-05 	4.62021e-05 	1.32133e-05
0.225128 	0.00707218 	0.00260469 	0.0035456 	-1.4636e-05 	4.55551e-05 	1.02763e-05
0.230781 	0.00701737 	0.00259029 	0.00350982 	-1.43696e-05 	4.20356e-05 	7.56332e-06
0.236512 	0.00696674 	0.00257632 	0.00347424 	-1.52468e-05 	3.66655e-05 	5.20226e-06
0.242324 	0.00691832 	0.00256301 	0.00343922 	-1.70737e-05 	3.02265e-05 	3.33238e-06
0.248216 	0.00687158 	0.00255053 	0.00340507 	-1.95178e-05 	2.33204e-05 	2.10104e-06
0.254189 	0.00682553 	0.00253889 	0.00337198 	-2.2323e-05 	1.63199e-05 	1.55779e-06
0.260242 	0.00677823 	0.00252808 	0.00333998 	-2.54227e-05 	9.32703e-06 	1.61384e-06
0.266378 	0.0067284 	0.00251804 	0.00330851 	-2.87212e-05 	3.00815e-06 	2.19493e-06
0.272595 	0.00667587 	0.00250868 	0.00327631 	-3.19743e-05 	-1.67322e-06 	3.05934e-06
0.278895 	0.00662095 	0.00249977 	0.00324155 	-3.49713e-05 	-4.85876e-06 	3.81757e-06
0.285278 	0.0065643 	0.00249094 	0.00320297 	-3.75732e-05 	-7.37893e-06 	4.20231e-06
0.291744 	0.00650607 	0.00248182 	0.00316106 	-3.96574e-05 	-9.19911e-06 	4.1345e-06
0.298293 	0.0064461 	0.00247208 	0.00311768 	-4.10359e-05 	-9.63031e-06 	3.5739e-06
0.304926 	0.00638471 	0.00246149 	0.00307499 	-4.15678e-05 	-8.61712e-06 	2.46604e-06
0.311643 	0.00632152 	0.00244991 	0.00303424 	-4.13902e-05 	-6.27004e-06 	7.89611e-07
0.318444 	0.00625543 	0.00243714 	0.00299557 	-4.08689e-05 	-2.0237e-06 	-1.34627e-06
0.325329 	0.00618474 	0.00242278 	0.00295899 	-4.02621e-05 	3.97224e-06 	-3.8868e-06
0.3323 	0.00610863 	0.0024064 	0.00292531 	-3.94649e-05 	1.0425e-05 	-6.79743e-06
0.339355 	0.00602841 	0.00238777 	0.00289546 	-3.83427e-05 	1.59846e-05 	-9.72503e-06
0.346494 	0.00594579 	0.0023669 	0.00286891 	-3.69971e-05 	1.92818e-05 	-1.22521e-05
0.353719 	0.00586189 	0.002344 	0.00284333 	-3.57569e-05 	1.9626e-05 	-1.41302e-05
0.361029 	0.00577694 	0.00231923 	0.00281607 	-3.49598e-05 	1.77357e-05 	-1.51704e-05
0.368424 	0.00569232 	0.00229266 	0.00278581 	-3.47632e-05 	1.50459e-05 	-1.53624e-05
0.375904 	0.00561083 	0.00226432 	0.00275291 	-3.51069e-05 	1.28045e-05 	-1.49426e-05
0.383469 	0.00553377 	0.00223425 	0.00271753 	-3.55747e-05 	1.16526e-05 	-1.41869e-05
0.391118 	0.00545948 	0.00220262 	0.00267951 	-3.54181e-05 	1.10277e-05 	-1.31623e-05
0.398853 	0.00538514 	0.0021698 	0.00264001 	-3.44434e-05 	8.74342e-06 	-1.16862e-05
0.406672 	0.00530892 	0.00213637 	0.00259991 	-3.32511e-05 	3.68765e-06 	-9.4982e-06
0.414576 	0.00522954 	0.00210302 	0.00255832 	-3.22907e-05 	-2.05061e-06 	-6.77895e-06
0.422564 	0.00514653 	0.00207025 	0.00251474 	-3.15982e-05 	-5.28267e-06 	-4.0353e-06
0.430636 	0.00506098 	0.00203804 	0.00247014 	-3.09938e-05 	-4.71592e-06 	-1.65044e-06
0.438791 	0.00497532 	0.00200589 	0.00242552 	-3.02915e-05 	-1.54964e-06 	3.62339e-07
0.44703 	0.00489167 	0.00197328 	0.00238224 	-2.95889e-05 	2.45911e-06 	1.90414e-06
0.455351 	0.00480935 	0.00193998 	0.00234204 	-2.90453e-05 	6.29563e-06 	2.99992e-06
0.463755 	0.00472567 	0.00190609 	0.00230399 	-2.84537e-05 	9.02402e-06 	4.41046e-06
0.472241 	0.0046402 	0.00187191 	0.00226343 	-2.76035e-05 	1.02651e-05 	6.63893e-06
0.480809 	0.00455465 	0.00183751 	0.00221747 	-2.64536e-05 	1.00314e-05 	9.56707e-06
0.489457 	0.00447231 	0.00180251 	0.00216833 	-2.51063e-05 	8.73575e-06 	1.2806e-05
0.498186 	0.0043962 	0.00176637 	0.0021185 	-2.37976e-05 	6.96237e-06 	1.59284e-05
0.506994 	0.00432804 	0.00172889 	0.0020694 	-2.22997e-05 	4.51885e-06 	1.87678e-05
0.515881 	0.00426957 	0.00169044 	0.0020207 	-2.03295e-05 	1.49748e-06 	2.11072e-05
0.524847 	0.00422119 	0.00165162 	0.00197136 	-1.82375e-05 	-1.40737e-06 	2.26727e-05
0.53389 	0.00417872 	0.00161276 	0.00192107 	-1.64891e-05 	-3.29297e-06 	2.34307e-05
0.543009 	0.00413524 	0.00157389 	0.0018714 	-1.52436e-05 	-4.58935e-06 	2.34283e-05
0.552205 	0.0040874 	0.00153503 	0.00182421 	-1.47159e-05 	-7.42667e-06 	2.27711e-05
0.561475 	0.00403512 	0.00149656 	0.0017791 	-1.49392e-05 	-1.41727e-05 	2.19563e-05
0.570819 	0.00397837 	0.00145932 	0.00173415 	-1.53198e-05 	-2.5033e-05 	2.09782e-05
0.580236 	0.00391615 	0.00142406 	0.0016873 	-1.54662e-05 	-3.73493e-05 	1.92278e-05
0.589724 	0.00384758 	0.00139087 	0.0016377 	-1.55938e-05 	-4.96911e-05 	1.67352e-05
0.599284 	0.00377438 	0.00135897 	0.0015875 	-1.57546e-05 	-6.0864e-05 	1.408e-05
0.608913 	0.0036985 	0.00132716 	0.00153864 	-1.57947e-05 	-6.80143e-05 	1.15893e-05
0.618611 	0.00362006 	0.00129464 	0.00149175 	-1.55868e-05 	-6.87947e-05 	9.29154e-06
0.628375 	0.00354059 	0.00126128 	0.00144768 	-1.49812e-05 	-6.324e-05 	7.19844e-06
0.638206 	0.0034612 	0.00122726 	0.00140547 	-1.39183e-05 	-5.38252e-05 	5.44328e-06
0.648101 	0.00338323 	0.00119256 	0.00136299 	-1.25775e-05 	-4.36179e-05 	3.96362e-06
0.658059 	0.00330914 	0.00115713 	0.00131932 	-1.13445e-05 	-3.45493e-05 	2.61381e-06
0.66808 	0.00323745 	0.00112102 	0.00127561 	-1.05113e-05 	-2.76055e-05 	1.43106e-06
0.67816 	0.00316435 	0.00108434 	0.00123273 	-1.0189e-05 	-2.38718e-05 	4.45457e-07
0.6883 	0.00308817 	0.00104723 	0.00118982 	-1.03302e-05 	-2.43017e-05 	-2.11826e-07
0.698497 	0.00300845 	0.00100982 	0.00114636 	-1.07759e-05 	-2.72352e-05 	-3.98426e-07
0.70875 	0.00292521 	0.000972382 	0.0011027 	-1.12313e-05 	-2.93204e-05 	-6.79388e-08
0.719056 	0.00283836 	0.000935142 	0.00105886 	-1.13965e-05 	-2.83399e-05 	4.86979e-07
0.729416 	0.00274975 	0.00089818 	0.00101462 	-1.10605e-05 	-2.42978e-05 	7.13396e-07
0.739826 	0.00266102 	0.000861556 	0.000969755 	-1.03688e-05 	-1.92075e-05 	3.29212e-07
