10	7.6155	-0.226645	-1.73207	11.699	-1.31293	-3.56958	20.611	0.181307	-6.42939
17	7.3397	-0.239075	-1.16458	11.7172	-1.06807	-4.02233	20.9926	-0.0357152	-7.01004
22	7.05264	-0.21129	-0.656574	11.6376	-0.519791	-4.56393	20.4909	0.243956	-7.45596
26	6.9911	-0.32439	-1.18681	11.484	-0.272794	-4.77983	20.0915	1.03269	-8.21105
29	7.15784	-0.320117	-1.77215	11.2846	-0.175823	-4.8475	19.7359	1.41743	-8.61435
31	6.8867	-0.0894303	-1.70239	11.0994	-0.0898695	-4.86454	19.5299	1.55277	-8.74809
34	7.03875	-0.306439	-2.50297	10.608	0.0543694	-4.81189	19.1698	1.75215	-8.82784
38	6.71407	-0.174576	-2.50011	10.0824	0.364725	-4.63103	17.9599	1.90614	-8.84337
43	6.3442	-0.0588006	-2.36425	9.8026	0.856484	-4.21805	16.9328	2.17385	-8.67841
50	6.18122	0.0590934	-2.15717	9.60384	1.23777	-3.79141	16.0379	2.89123	-7.97261
70	6.38627	0.306182	-1.38784	9.52419	1.18292	-3.31692	14.2868	1.66933	-7.56415
90	6.67052	0.150204	-1.12533	9.74897	0.183905	-2.78895	15.3095	-0.00546851	-6.67674
110	7.13689	-0.160099	-1.26235	10.2565	-0.192327	-2.74638	19.7018	-0.390915	-5.25722
