# X, Y, wSS_x, wSS_y, wSS_z
-2.884615384615380208e+03 -9.615384615384620020e+02 -4.867321847296530168e-01 -2.332128665849259874e-01 -2.332128665849259874e-01
-2.852564102564099812e+03 -9.508547008547010364e+02 -4.867468874789669941e-01 -2.332480455382079931e-01 -2.332480455382079931e-01
-2.820512820512819872e+03 -9.401709401709399572e+02 -4.867612508057280185e-01 -2.332785069026560021e-01 -2.332785069026560021e-01
-2.788461538461539931e+03 -9.294871794871800148e+02 -4.867741025834420032e-01 -2.333044720623450030e-01 -2.333044720623450030e-01
-2.788461538461539931e+03 -9.294871794871800148e+02 -4.867846351005850059e-01 -2.333262410240730111e-01 -2.333262410240730111e-01
-2.756410256410259990e+03 -9.188034188034190493e+02 -4.867606352245180124e-01 -2.333058801380989977e-01 -2.333058801380989977e-01
-2.724358974358980049e+03 -9.081196581196579700e+02 -4.867741860573169821e-01 -2.333325280787250100e-01 -2.333325280787250100e-01
-2.692307692307690104e+03 -8.974358974358980277e+02 -4.867858886075500102e-01 -2.333553017178650046e-01 -2.333553017178650046e-01
-2.692307692307690104e+03 -8.974358974358970045e+02 -4.867163747498289839e-01 -2.333078847053020044e-01 -2.333078847053020044e-01
-2.660256410256410163e+03 -8.867521367521369484e+02 -4.867306758461589777e-01 -2.333351090946219897e-01 -2.333351090946219897e-01
-2.628205128205130222e+03 -8.760683760683759829e+02 -4.867435502314980122e-01 -2.333587718952880030e-01 -2.333587718952880030e-01
-2.596153846153849827e+03 -8.653846153846150173e+02 -4.866679659404830049e-01 -2.333433016178859953e-01 -2.333433016178859953e-01
-2.596153846153849827e+03 -8.653846153846150173e+02 -4.867542463309689760e-01 -2.333789841895010098e-01 -2.333789841895010098e-01
-2.596153846153849827e+03 -8.653846153846150173e+02 -4.866540023604660203e-01 -2.333188140348929906e-01 -2.333188140348929906e-01
-2.564102564102559882e+03 -8.547008547008549613e+02 -4.866679659404830049e-01 -2.333433016178859953e-01 -2.333433016178859953e-01
-2.532051282051279941e+03 -8.440170940170939957e+02 -4.866800546844790021e-01 -2.333645289577530035e-01 -2.333645289577530035e-01
-2.500000000000000000e+03 -8.333333333333330302e+02 -4.866897100461349823e-01 -2.333826044231739893e-01 -2.333826044231739893e-01
-2.500000000000000000e+03 -8.333333333333330302e+02 -4.865668762683820203e-01 -2.333126462462379869e-01 -2.333126462462379869e-01
-2.467948717948720059e+03 -8.226495726495729741e+02 -4.865803428217320148e-01 -2.333349019395649926e-01 -2.333349019395649926e-01
-2.435897435897440118e+03 -8.119658119658120086e+02 -4.865915763101090197e-01 -2.333541290816369962e-01 -2.333541290816369962e-01
-2.403846153846150173e+03 -8.012820512820510430e+02 -4.866059664410610219e-01 -2.333840146437770047e-01 -2.333840146437770047e-01
-2.371794871794869778e+03 -7.905982905982909870e+02 -4.864742142404739900e-01 -2.333135889125630136e-01 -2.333135889125630136e-01
-2.339743589743589837e+03 -7.799145299145300214e+02 -4.864844950368649723e-01 -2.333310848298829898e-01 -2.333310848298829898e-01
-2.307692307692309896e+03 -7.692307692307690559e+02 -4.864920241071959972e-01 -2.333458688237110001e-01 -2.333458688237110001e-01
-2.307692307692309896e+03 -7.692307692307690559e+02 -4.863426883898049891e-01 -2.332636711324929946e-01 -2.332636711324929946e-01
-2.275641025641029955e+03 -7.585470085470079766e+02 -4.863545908059149769e-01 -2.332822932190850018e-01 -2.332822932190850018e-01
-2.243589743589740010e+03 -7.478632478632480343e+02 -4.863638292361999738e-01 -2.332982517377359954e-01 -2.332982517377359954e-01
-2.211538461538460069e+03 -7.371794871794869550e+02 -4.863702554221510099e-01 -2.333116810666240049e-01 -2.333116810666240049e-01
-2.211538461538460069e+03 -7.371794871794869550e+02 -4.862144654073660144e-01 -2.332262975617500067e-01 -2.332262975617500067e-01
-2.179487179487180128e+03 -7.264957264957259895e+02 -4.862253596486740270e-01 -2.332433625376119923e-01 -2.332433625376119923e-01
-2.147435897435900188e+03 -7.158119658119660471e+02 -4.862334987553240118e-01 -2.332579208848659935e-01 -2.332579208848659935e-01
-2.115384615384619792e+03 -7.051282051282049679e+02 -4.862388145161929964e-01 -2.332701223985750028e-01 -2.332701223985750028e-01
-2.115384615384619792e+03 -7.051282051282049679e+02 -4.860797519617769957e-01 -2.331830208345689881e-01 -2.331830208345689881e-01
-2.083333333333329847e+03 -6.944444444444440023e+02 -4.860895458098020150e-01 -2.331986585203580098e-01 -2.331986585203580098e-01
-2.051282051282049906e+03 -6.837606837606839463e+02 -4.860965491370919933e-01 -2.332119399969090068e-01 -2.332119399969090068e-01
-2.019230769230769965e+03 -6.730769230769229807e+02 -4.861007604386080039e-01 -2.332230246574920063e-01 -2.332230246574920063e-01
-2.019230769230769965e+03 -6.730769230769229807e+02 -4.861022735196410260e-01 -2.332321136222580138e-01 -2.332321136222580138e-01
-1.987179487179490025e+03 -6.623931623931620152e+02 -4.859495252917360175e-01 -2.331497809498629947e-01 -2.331497809498629947e-01
-1.955128205128210084e+03 -6.517094017094019591e+02 -4.859553807629000133e-01 -2.331619002105720095e-01 -2.331619002105720095e-01
-1.955128205128210084e+03 -6.517094017094019591e+02 -4.859585157029370217e-01 -2.331719802217719906e-01 -2.331719802217719906e-01
-1.923076923076919911e+03 -6.410256410256409936e+02 -4.859590626332169760e-01 -2.331802266436600046e-01 -2.331802266436600046e-01
-1.923076923076919911e+03 -6.410256410256409936e+02 -4.857996530370700117e-01 -2.330847249073499938e-01 -2.330847249073499938e-01
-1.891025641025639970e+03 -6.303418803418800280e+02 -4.858070972520570074e-01 -2.330978394777450113e-01 -2.330978394777450113e-01
-1.858974358974360030e+03 -6.196581196581199720e+02 -4.858118188792079906e-01 -2.331088941845609885e-01 -2.331088941845609885e-01
-1.826923076923080089e+03 -6.089743589743590064e+02 -4.858135708894080196e-01 -2.331255545625240122e-01 -2.331255545625240122e-01
-1.794871794871789916e+03 -5.982905982905980409e+02 -4.856636664062349840e-01 -2.330437076245029937e-01 -2.330437076245029937e-01
-1.762820512820509975e+03 -5.876068376068379848e+02 -4.856672988516729794e-01 -2.330537880110790105e-01 -2.330537880110790105e-01
-1.730769230769230035e+03 -5.769230769230770193e+02 -4.856684323683549964e-01 -2.330621355114209925e-01 -2.330621355114209925e-01
-1.730769230769230035e+03 -5.769230769230770193e+02 -4.856672477534850207e-01 -2.330689406011270115e-01 -2.330689406011270115e-01
-1.730769230769230035e+03 -5.769230769230770193e+02 -4.855152084667019863e-01 -2.329771504568640128e-01 -2.329771504568640128e-01
-1.698717948717950094e+03 -5.662393162393160537e+02 -4.855203248750760148e-01 -2.329881131600710087e-01 -2.329881131600710087e-01
-1.666666666666669926e+03 -5.555555555555549745e+02 -4.855229187556400205e-01 -2.329973056349060045e-01 -2.329973056349060045e-01
-1.634615384615379980e+03 -5.448717948717950321e+02 -4.855231484646759799e-01 -2.330049083588419945e-01 -2.330049083588419945e-01
-1.634615384615379980e+03 -5.448717948717950321e+02 -4.855212064213770273e-01 -2.330111017047900024e-01 -2.330111017047900024e-01
-1.602564102564100040e+03 -5.341880341880339529e+02 -4.853779114582810195e-01 -2.329316560691739868e-01 -2.329316560691739868e-01
-1.570512820512820099e+03 -5.235042735042729873e+02 -4.853795319294900157e-01 -2.329400460480050006e-01 -2.329400460480050006e-01
-1.538461538461539931e+03 -5.128205128205130450e+02 -4.853789311934519901e-01 -2.329469792523130023e-01 -2.329469792523130023e-01
-1.538461538461539931e+03 -5.128205128205130450e+02 -4.852340826487929748e-01 -2.328656574291619874e-01 -2.328656574291619874e-01
-1.506410256410259990e+03 -5.021367521367520226e+02 -4.852370622381619869e-01 -2.328748167391780088e-01 -2.328748167391780088e-01
-1.474358974358970045e+03 -4.914529914529910002e+02 -4.852377843767379795e-01 -2.328824809349900049e-01 -2.328824809349900049e-01
-1.442307692307690104e+03 -4.807692307692310010e+02 -4.852364321657219870e-01 -2.328888125288129940e-01 -2.328888125288129940e-01
