Variable Name,Tapping Number 15,Tapping Number 49,Tapping Number 112,Tapping Number 117,Tapping Number 114,Tapping Number 116,Tapping Number 113,Tapping Number 115,Tapping Number 23,Tapping Number 94,Tapping Number 95,Tapping Number 93,Tapping Number 90,Tapping Number 124,Tapping Number 92,Tapping Number 123,Tapping Number 91,Tapping Number 84,Tapping Number 24,Tapping Number 40,Tapping Number 100,Tapping Number 105,Tapping Number 109,Tapping Number 111,Tapping Number 110,Tapping Number 108,Tapping Number 107,Tapping Number 106,Tapping Number 32,Tapping Number 41,Tapping Number 99,Tapping Number 104,Tapping Number 98,Tapping Number 103,Tapping Number 97,Tapping Number 96,Tapping Number 95,Tapping Number 101,Tapping Number 102,Tapping Number 89,Tapping Number 79,Tapping Number 88,Tapping Number 80,Tapping Number 87,Tapping Number 81,Tapping Number 86,Tapping Number 85,Tapping Number 84,Tapping Number 83,Tapping Number 82,Tapping Number 52,Tapping Number 53,Tapping Number 54,Tapping Number 55,Tapping Number 56,Tapping Number 57,Tapping Number 58,Tapping Number 42,Tapping Number 43,Tapping Number 44,Tapping Number 45,Tapping Number 46,Tapping Number 47,Tapping Number 48,Tapping Number 33,Tapping Number 34,Tapping Number 35,Tapping Number 36,Tapping Number 37,Tapping Number 38,Tapping Number 39,Tapping Number 25,Tapping Number 26,Tapping Number 27,Tapping Number 28,Tapping Number 29,Tapping Number 30,Tapping Number 31,Tapping Number 16,Tapping Number 17,Tapping Number 18,Tapping Number 19,Tapping Number 20,Tapping Number 21,Tapping Number 22,Tapping Number 8,Tapping Number 9,Tapping Number 10,Tapping Number 11,Tapping Number 12,Tapping Number 13,Tapping Number 14,Tapping Number 1,Tapping Number 2,Tapping Number 3,Tapping Number 4,Tapping Number 5,Tapping Number 6,Tapping Number 7,Tapping Number 50,Tapping Number 51,Tapping Number 59,Tapping Number 60,Tapping Number 61,Tapping Number 62,Tapping Number 63
MeanCp,-0.2021,-0.2907,-0.1942,-0.1586,-0.2226,-0.1323,-0.4502,-0.1756,-0.9696,-0.2164,-0.0723,-0.2520,-0.0455,-0.5189,-0.8263,-0.0286,-0.1046,0.9735,-0.1725,-0.2264,-0.1825,-0.1815,-0.1873,-0.1987,-0.2970,-0.2314,-0.2813,-0.3598,-0.3990,-0.5532,-0.3565,-0.5465,-0.2516,-0.4485,-0.0601,-0.0908,-0.0723,-0.0787,-0.1898,-0.9644,-1.2442,-0.9674,-1.2532,0.0712,-0.2745,0.8195,0.9600,0.9735,0.9512,0.6996,-0.2536,-0.2674,-0.2895,-0.2973,-0.3257,-0.3186,-0.3026,-0.2602,-0.2760,-0.3007,-0.3277,-0.3251,-0.3313,-0.3067,-0.2437,-0.2601,-0.2870,-0.3219,-0.3454,-0.3457,-0.3205,-0.2310,-0.2505,-0.2775,-0.3138,-0.3469,-0.3556,-0.3329,-0.2476,-0.2691,-0.2963,-0.3323,-0.3607,-0.3653,-0.3345,-0.2876,-0.3088,-0.3357,-0.3625,-0.3757,-0.3703,-0.3488,-0.3100,-0.3263,-0.3493,-0.3676,-0.3722,-0.3587,-0.3453,-0.2704,-0.2867,-0.3087,-0.3326,-0.3428,-0.3411,-0.3335
RMSCp,0.0090,0.0139,0.0071,0.0213,0.0077,0.0132,0.0073,0.0138,0.0095,0.0127,0.0082,0.0172,0.0095,0.0249,0.0368,0.0110,0.0094,0.0268,0.0135,0.0142,0.0102,0.0076,0.0088,0.0127,0.0146,0.0038,0.0092,0.0036,0.0137,0.0168,0.0145,0.0150,0.0126,0.0125,0.0110,0.0096,0.0082,0.0095,0.0106,0.0330,0.0605,0.0141,0.0190,0.0164,0.0250,0.0136,0.0166,0.0268,0.0336,0.0260,0.0300,0.0280,0.0254,0.0198,0.0204,0.0228,0.0298,0.0313,0.0313,0.0292,0.0247,0.0177,0.0205,0.0245,0.0342,0.0335,0.0335,0.0308,0.0261,0.0220,0.0224,0.0349,0.0350,0.0361,0.0349,0.0294,0.0231,0.0203,0.0377,0.0381,0.0382,0.0348,0.0278,0.0213,0.0175,0.0378,0.0371,0.0338,0.0288,0.0231,0.0200,0.0196,0.0311,0.0290,0.0248,0.0213,0.0200,0.0206,0.0280,0.0292,0.0256,0.0218,0.0188,0.0186,0.0218,0.0271
