x;y;z
31589.19348;3019.909757;193.4516557
31590.00821;3020.489596;193.6537031
31590.82294;3021.069434;193.8608939
31591.63767;3021.649273;194.0732282
31592.4524;3022.229111;194.2907059
31593.26713;3022.80895;194.513327
31594.08187;3023.388788;194.7410916
31594.8966;3023.968627;194.9884809
31595.71133;3024.548465;195.2410143
31596.52606;3025.128304;195.4913938
31597.34079;3025.708142;195.7421068
31598.15552;3026.287981;195.9931535
31598.97025;3026.867819;196.2445338
31599.78499;3027.447658;196.4962478
31600.59972;3028.027496;196.7482954
31601.41445;3028.607335;197.0006766
31602.22918;3029.187173;197.2533914
31603.04391;3029.767012;197.5064399
31603.85864;3030.34685;197.759822
31604.67337;3030.926689;198.0548027
31605.48811;3031.506527;198.3703174
31606.30284;3032.086366;198.6875458
31607.11757;3032.666204;199.0064877
31607.9323;3033.246043;199.3271431
31608.74703;3033.825881;199.6495121
31609.56176;3034.40572;199.9735947
31610.37649;3034.985558;200.2524791
31611.19123;3035.565397;200.5226804
31612.00596;3036.145235;200.7903102
31612.82069;3036.725074;201.0553683
31613.63542;3037.304912;201.3178549
31614.45015;3037.884751;201.5778353
31615.26488;3038.464589;201.8353378
31616.07961;3039.044428;202.0902689
31616.89435;3039.624267;202.3426283
31617.70908;3040.204105;202.5924162
31618.52381;3040.783944;202.8396325
31619.33854;3041.363782;203.0842772
31620.15327;3041.943621;203.3263504
31620.968;3042.523459;203.5658519
31621.78273;3043.103298;203.8027819
31622.59747;3043.683136;204.0371404
31623.4122;3044.262975;204.2689272
31624.22693;3044.842813;204.4896713
31625.04166;3045.422652;204.6582881
31625.85639;3046.00249;204.8308982
31626.67112;3046.582329;205.0075016
31627.48585;3047.162167;205.1880984
31628.30059;3047.742006;205.3726885
31629.11532;3048.321844;205.5612719
31629.93005;3048.901683;205.7538487
31630.74478;3049.481521;205.9504187
31631.55951;3050.06136;206.1509821
31632.37424;3050.641198;206.3555388
31633.18897;3051.221037;206.5640888
31634.00371;3051.800875;206.7766321
31634.81844;3052.380714;206.9900776
31635.63317;3052.960552;207.2080924
31636.4479;3053.540391;207.4312506
31637.26263;3054.120229;207.6595523
31638.07736;3054.700068;207.8939315
31638.89209;3055.279906;208.1326789
31639.70683;3055.859745;208.3733608
31640.52156;3056.439583;208.6159771
31641.33629;3057.019422;208.8605278
31642.15102;3057.59926;209.107013
31642.96575;3058.179099;209.3554327
31643.78048;3058.758937;209.6057868
31644.59522;3059.338776;209.8090779
31645.40995;3059.918614;209.9793981
31646.22468;3060.498453;210.150939
31647.03941;3061.078291;210.3237005
31647.85414;3061.65813;210.4976826
31648.66887;3062.237968;210.6728853
31649.4836;3062.817807;210.8493087
31650.29834;3063.397645;211.0269526
31651.11307;3063.977484;211.2058172
31651.9278;3064.557322;211.382288
31652.74253;3065.137161;211.5379931
31653.55726;3065.716999;211.6934663
31654.37199;3066.296838;211.8208495
31655.18672;3066.876676;211.889787
31656.00146;3067.456515;211.9625821
31656.81619;3068.036353;212.0392346
31657.63092;3068.616192;212.1197447
31658.44565;3069.19603;212.2041122
31659.26038;3069.775869;212.2923373
31660.07511;3070.355707;212.3844198
31660.88984;3070.935546;212.4803599
31661.70458;3071.515384;212.5801575
31662.51931;3072.095223;212.6838125
31663.33404;3072.675061;212.7913251
31664.14877;3073.2549;212.9024992
31664.9635;3073.834738;213.0127239
31665.77823;3074.414577;213.1266612
31666.59296;3074.994415;213.2444721
31667.4077;3075.574254;213.3660033
31668.22243;3076.154092;213.4912366
31669.03716;3076.733931;213.620172
31669.85189;3077.313769;213.7528094
31670.66662;3077.893608;213.8891489
31671.48135;3078.473446;214.0291905
31672.29608;3079.053285;214.1729342
31673.11082;3079.633123;214.3203799
31673.92555;3080.212962;214.4715278
31674.74028;3080.7928;214.5876247
31675.55501;3081.372639;214.6945672
31676.36974;3081.952477;214.8040812
31677.18447;3082.532316;214.9161668
31677.9992;3083.112154;215.030824
31678.81394;3083.691993;215.1480528
31679.62867;3084.271831;215.2678531
31680.4434;3084.85167;215.4042298
31681.25813;3085.431508;215.5499247
31682.07286;3086.011347;215.6974786
31682.88759;3086.591185;215.8468916
31683.70232;3087.171024;215.9981636
31684.51706;3087.750862;216.1512427
31685.33179;3088.330701;216.3061409
31686.14652;3088.910539;216.4629166
31686.96125;3089.490378;216.6215698
31687.77598;3090.070216;216.7821004
31688.59071;3090.650055;216.9445086
31689.40544;3091.229893;217.1087942
31690.22018;3091.809732;217.2749574
31691.03491;3092.38957;217.4429981
31691.84964;3092.969409;217.6129162
31692.66437;3093.549247;217.7847119
31693.4791;3094.129086;217.958385
31694.29383;3094.708924;218.1628515
31695.10856;3095.288763;218.431004
31695.9233;3095.868601;218.6982514
31696.73803;3096.44844;218.9645935
31697.55276;3097.028278;219.2300306
31698.36749;3097.608117;219.4945624
31699.18222;3098.187955;219.7581892
31699.99695;3098.767794;220.0209107
31700.81168;3099.347632;220.2827271
31701.62642;3099.927471;220.5436384
31702.44115;3100.507309;220.8036445
31703.25588;3101.087148;221.0627454
31704.07061;3101.666986;221.3209412
31704.88534;3102.246825;221.5929651
31705.70007;3102.826663;221.8645973
31706.5148;3103.406502;222.1349437
31707.32954;3103.98634;222.4040043
31708.14427;3104.566179;222.6717682
31708.959;3105.146018;222.9381922
31709.77373;3105.725856;223.2033303
31710.58846;3106.305695;223.4671824
31711.40319;3106.885533;223.7297486
31712.21792;3107.465372;223.9910288
31713.03266;3108.04521;224.2510232
31713.84739;3108.625049;224.5097316
31714.66212;3109.204887;224.7645922
31715.47685;3109.784726;225.0180174
31716.29158;3110.364564;225.2714936
31717.10631;3110.944403;225.5250209
31717.92104;3111.524241;225.7785991
31718.73578;3112.10408;226.0322285
31719.55051;3112.683918;226.2859089
31720.36524;3113.263757;226.5396403
31721.17997;3113.843595;226.7934227
31721.9947;3114.423434;227.0472562
31722.80943;3115.003272;227.3054033
31723.62416;3115.583111;227.5635687
31724.4389;3116.162949;227.8241549
31725.25363;3116.742788;228.0901174
31726.06836;3117.322626;228.3578441
31726.88309;3117.902465;228.6273349
31727.69782;3118.482303;228.89859
31728.51255;3119.062142;229.1716092
31729.32728;3119.64198;229.4463926
31730.14202;3120.221819;229.7229401
31730.95675;3120.801657;230.0012518
31731.77148;3121.381496;230.2813277
31732.58621;3121.961334;230.5631678
31733.40094;3122.541173;230.846772
31734.21567;3123.121011;231.1321545
31735.0304;3123.70085;231.419424
31735.84514;3124.280688;231.7084946
31736.65987;3124.860527;231.9917936
31737.4746;3125.440365;232.2696115
31738.28933;3126.020204;232.5448578
31739.10406;3126.600042;232.8175326
31739.91879;3127.179881;233.0876358
31740.73352;3127.759719;233.3551674
31741.54826;3128.339558;233.6201274
31742.36299;3128.919396;233.8825159
31743.17772;3129.499235;234.1423327
31743.99245;3130.079073;234.399578
31744.80718;3130.658912;234.6191578
31745.62191;3131.23875;234.8286572
31746.43664;3131.818589;235.0343133
31747.25138;3132.398427;235.2361262
31748.06611;3132.978266;235.4340959
31748.88084;3133.558104;235.6282224
31749.69557;3134.137943;235.8185056
31750.5103;3134.717781;236.004871
31751.32503;3135.29762;236.1872873
31752.13976;3135.877458;236.3658497
31752.9545;3136.457297;236.5405582
31753.76923;3137.037135;236.7114128
31754.58396;3137.616974;236.8778874
31755.39869;3138.196812;237.0401134
31756.21342;3138.776651;237.1984819
31757.02815;3139.356489;237.3529931
31757.84288;3139.936328;237.503647
31758.65762;3140.516166;237.6504435
31759.47235;3141.096005;237.7933826
31760.28708;3141.675843;237.9324644
31761.10181;3142.255682;238.0676888
31761.91654;3142.83552;238.1990559
31762.73127;3143.415359;238.3265656
31763.546;3143.995197;238.4502179
31764.36074;3144.575036;238.5415174
31765.17547;3145.154874;238.561897
31765.9902;3145.734713;238.5777472
31766.80493;3146.314551;238.5890681
31767.61966;3146.89439;238.5958595
31768.43439;3147.474228;238.5981216
31769.24912;3148.054067;238.5958543
31770.06386;3148.633905;238.5890576
31770.87859;3149.213744;238.5777316
31771.69332;3149.793582;238.5618761
31772.50805;3150.373421;238.5414913
31773.32278;3150.953259;238.5165771
31774.13751;3151.533098;238.4854688
31774.95224;3152.112936;238.3842714
31775.76698;3152.692775;238.2781111
31776.58171;3153.272613;238.1669881
31777.39644;3153.852452;238.0509024
31778.21117;3154.43229;237.9298538
31779.0259;3155.012129;237.8435336
31779.84063;3155.591967;237.7582539
31780.65536;3156.171806;237.6716885
31781.4701;3156.751644;237.5838372
31782.28483;3157.331483;237.4947002
31783.09956;3157.911321;237.4042774
31783.91429;3158.49116;237.3125688
31784.72902;3159.070998;237.2149139
31785.54375;3159.650837;237.1146626
31786.35848;3160.230675;237.013396
31787.17322;3160.810514;236.9111138
31787.98795;3161.390352;236.8078162
31788.80268;3161.970191;236.7035032
31789.61741;3162.550029;236.5981747
31790.43214;3163.129868;236.4918307
31791.24687;3163.709706;236.3844713
31792.0616;3164.289545;236.2760964
31792.87634;3164.869383;236.1666999
31793.69107;3165.449222;236.0562942
31794.5058;3166.02906;235.9371818
31795.32053;3166.608899;235.809351
31796.13526;3167.188737;235.6815202
31796.94999;3167.768576;235.5536894
31797.76472;3168.348414;235.4258585
31798.57946;3168.928253;235.2980277
31799.39419;3169.508091;235.1701969
31800.20892;3170.08793;235.0423661
31801.02365;3170.667768;234.9145353
31801.83838;3171.247607;234.7867045
31802.65311;3171.827446;234.6588737
31803.46784;3172.407284;234.5310429
31804.28258;3172.987123;234.403212
31805.09731;3173.566961;234.2753812
31805.91204;3174.1468;234.1475504
31806.72677;3174.726638;234.01972
31807.5415;3175.306477;233.8918901
31808.35623;3175.886315;233.7640601
31809.17096;3176.466154;233.6362302
31809.9857;3177.045992;233.5084003
31810.80043;3177.625831;233.3805704
31811.61516;3178.205669;233.2527404
31812.42989;3178.785508;233.1249105
31813.24462;3179.365346;232.9970806
31814.05935;3179.945185;232.8692507
31814.87408;3180.525023;232.6415261
31815.68882;3181.104862;232.4039532
31816.50355;3181.6847;232.1641436
31817.31828;3182.264539;231.9220974
31818.13301;3182.844377;231.6778145
31818.94774;3183.424216;231.431295
31819.76247;3184.004054;231.1825389
31820.5772;3184.583893;230.9237881
31821.39194;3185.163731;230.6357371
31822.20667;3185.74357;230.3496419
31823.0214;3186.323408;230.0655026
31823.83613;3186.903247;229.783319
31824.65086;3187.483085;229.4903681
31825.46559;3188.062924;229.1929642
31826.28032;3188.642762;228.8978905
31827.09506;3189.222601;228.605147
31827.90979;3189.802439;228.3147337
31828.72452;3190.382278;228.0266507
31829.53925;3190.962116;227.7408978
31830.35398;3191.541955;227.4574752
31831.16871;3192.121793;227.1763828
31831.98344;3192.701632;226.8976206
31832.79818;3193.28147;226.6211886
31833.61291;3193.861309;226.3470869
31834.42764;3194.441147;226.0508002
31835.24237;3195.020986;225.7172347
31836.0571;3195.600824;225.3861862
31836.87183;3196.180663;225.0576439
31837.68656;3196.760501;224.7316077
31838.5013;3197.34034;224.4080776
31839.31603;3197.920178;224.0870536
31840.13076;3198.500017;223.7685357
31840.94549;3199.079855;223.452524
31841.76022;3199.659694;223.1390184
31842.57495;3200.239532;222.8280188
31843.38968;3200.819371;222.5195254
31844.20442;3201.399209;222.2058616
31845.01915;3201.979048;221.8301685
31845.83388;3202.558886;221.4570469
31846.64861;3203.138725;221.0864968
31847.46334;3203.718563;220.7185184
31848.27807;3204.298402;220.3531115
31849.0928;3204.87824;219.9903699
31849.90754;3205.458079;219.6302368
31850.72227;3206.037917;219.2726754
