17-05-10_15:30:00.000,34660.54,5205.50,434.86,54.68,-11.32,101.98,0.09,-18.69,1.44
17-05-10_15:30:00.000,34660.54,5205.50,454.86,54.68,-0.00,100.00,3.26,-18.36,1.64
17-05-10_15:30:00.000,34660.54,5205.50,474.86,54.68,11.31,101.98,6.23,-18.25,1.60
17-05-10_15:30:00.000,34676.86,5217.06,434.86,54.68,-9.48,121.66,0.51,-18.81,1.41
17-05-10_15:30:00.000,34676.86,5217.06,454.86,54.68,-0.01,120.00,3.90,-18.53,1.61
17-05-10_15:30:00.000,34676.86,5217.06,474.86,54.68,9.47,121.66,6.36,-18.55,1.41
17-05-10_15:30:00.000,34693.18,5228.62,414.86,54.68,-15.94,145.60,-0.78,-19.20,1.41
17-05-10_15:30:00.000,34693.18,5228.63,434.86,54.68,-8.14,141.42,0.93,-18.92,1.53
17-05-10_15:30:00.000,34693.18,5228.62,454.86,54.68,0.01,140.00,4.29,-18.66,1.60
17-05-10_15:30:00.000,34693.18,5228.62,474.86,54.68,8.13,141.42,6.53,-18.52,1.47
17-05-10_15:30:00.000,34709.50,5240.19,414.86,54.68,-14.05,164.93,-0.34,-19.19,1.40
17-05-10_15:30:00.000,34709.50,5240.19,434.86,54.68,-7.13,161.25,1.68,-19.15,1.62
17-05-10_15:30:00.000,34709.50,5240.19,454.86,54.68,-0.00,160.00,4.47,-18.89,1.55
17-05-10_15:30:00.000,34709.50,5240.19,474.86,54.68,7.13,161.25,6.91,-18.60,1.52
17-05-10_15:30:00.000,34709.50,5240.19,494.86,54.68,14.03,164.93,7.36,-18.69,1.36
17-05-10_15:30:00.000,34725.82,5251.75,414.86,54.68,-12.52,184.39,0.32,-19.19,1.51
17-05-10_15:30:00.000,34725.82,5251.75,434.86,54.68,-6.33,181.11,2.35,-19.18,1.54
17-05-10_15:30:00.000,34725.82,5251.75,454.86,54.68,0.00,180.00,4.96,-18.91,1.61
17-05-10_15:30:00.000,34725.82,5251.75,474.86,54.68,6.33,181.11,7.10,-18.69,1.38
17-05-10_15:30:00.000,34725.82,5251.75,494.86,54.68,12.52,184.39,7.51,-18.74,1.31
17-05-10_15:30:00.000,34742.14,5263.31,394.86,54.68,-16.70,208.81,0.12,-21.80,1.38
17-05-10_15:30:00.000,34742.14,5263.31,414.86,54.68,-11.31,203.96,0.81,-19.41,1.50
17-05-10_15:30:00.000,34742.14,5263.31,434.86,54.68,-5.72,201.00,2.60,-19.27,1.51
17-05-10_15:30:00.000,34742.14,5263.31,454.86,54.68,0.01,200.00,5.25,-19.00,1.49
17-05-10_15:30:00.000,34742.14,5263.31,474.86,54.68,5.70,201.00,7.19,-18.85,1.34
17-05-10_15:30:00.000,34742.14,5263.31,494.86,54.68,11.31,203.96,7.76,-18.61,1.38
17-05-10_15:30:00.000,34758.46,5274.87,394.86,54.68,-15.26,228.04,-0.17,-19.44,1.35
17-05-10_15:30:00.000,34758.46,5274.87,414.86,54.68,-10.30,223.61,1.09,-19.42,1.44
17-05-10_15:30:00.000,34758.46,5274.87,434.86,54.68,-5.20,220.91,2.93,-19.28,1.59
17-05-10_15:30:00.000,34758.46,5274.87,454.86,54.68,0.00,220.00,5.44,-19.04,1.48
17-05-10_15:30:00.000,34758.46,5274.87,474.86,54.68,5.19,220.91,7.27,-18.85,1.34
17-05-10_15:30:00.000,34758.46,5274.87,494.86,54.68,10.31,223.61,7.74,-18.57,1.31
17-05-10_15:30:00.000,34758.46,5274.87,514.86,54.68,15.27,228.04,7.83,-18.51,1.22
17-05-10_15:30:00.000,34774.78,5286.43,394.86,54.68,-14.03,247.39,0.33,-19.43,1.49
17-05-10_15:30:00.000,34774.78,5286.43,414.86,54.68,-9.47,243.32,1.54,-19.37,1.41
17-05-10_15:30:00.000,34774.78,5286.43,434.86,54.68,-4.77,240.84,3.25,-19.34,1.52
17-05-10_15:30:00.000,34774.78,5286.43,454.86,54.68,0.00,240.00,5.70,-19.01,1.50
17-05-10_15:30:00.000,34774.78,5286.43,474.86,54.68,4.77,240.84,7.24,-18.79,1.41
17-05-10_15:30:00.000,34774.78,5286.43,494.86,54.68,9.46,243.31,7.55,-18.67,1.26
17-05-10_15:30:00.000,34774.78,5286.43,514.86,54.68,14.03,247.39,7.85,-18.36,1.22
17-05-10_15:30:00.000,34791.10,5298.00,374.86,54.68,-17.11,272.03,-1.63,-25.34,1.24
17-05-10_15:30:00.000,34791.10,5298.00,394.86,54.68,-13.00,266.84,0.77,-19.44,1.51
17-05-10_15:30:00.000,34791.10,5298.00,414.86,54.68,-8.74,263.06,2.14,-19.26,1.56
17-05-10_15:30:00.000,34791.10,5298.00,434.86,54.68,-4.40,260.77,3.64,-19.25,1.54
17-05-10_15:30:00.000,34791.10,5298.00,454.86,54.68,-0.00,260.00,5.72,-18.97,1.47
17-05-10_15:30:00.000,34791.10,5298.00,474.86,54.68,4.40,260.77,7.19,-18.71,1.40
17-05-10_15:30:00.000,34791.10,5298.00,494.86,54.68,8.74,263.06,7.65,-18.57,1.26
17-05-10_15:30:00.000,34791.10,5298.00,514.86,54.68,13.00,266.84,7.71,-18.42,1.19
17-05-10_15:30:00.000,34807.42,5309.56,374.86,54.68,-15.94,291.21,0.54,-19.62,1.52
17-05-10_15:30:00.000,34807.42,5309.56,394.86,54.68,-12.10,286.36,1.37,-19.37,1.46
17-05-10_15:30:00.000,34807.42,5309.56,414.86,54.68,-8.13,282.85,2.67,-19.28,1.57
17-05-10_15:30:00.000,34807.42,5309.56,434.86,54.68,-4.08,280.72,4.06,-19.10,1.52
17-05-10_15:30:00.000,34807.41,5309.56,454.86,54.68,0.00,280.00,5.57,-18.89,1.45
17-05-10_15:30:00.000,34807.42,5309.56,474.86,54.68,4.08,280.72,7.13,-18.69,1.36
17-05-10_15:30:00.000,34807.41,5309.56,494.86,54.68,8.13,282.84,7.79,-18.52,1.27
17-05-10_15:30:00.000,34807.42,5309.56,514.86,54.68,12.09,286.36,7.75,-18.29,1.28
17-05-10_15:30:00.000,34823.74,5321.12,374.86,54.68,-14.93,310.49,1.08,-19.47,1.37
17-05-10_15:30:00.000,34823.73,5321.12,394.86,54.68,-11.31,305.94,2.00,-19.45,1.49
17-05-10_15:30:00.000,34823.74,5321.12,414.86,54.68,-7.59,302.66,3.17,-19.36,1.46
17-05-10_15:30:00.000,34823.74,5321.12,434.86,54.68,-3.81,300.67,4.24,-19.00,1.52
