x;y;z
36277.24443;6394.341236;222.9596064
36268.86724;6388.880216;224.6805341
36260.49005;6383.419197;226.6342726
36252.11287;6377.958177;228.8125922
36243.73568;6372.497157;231.1477212
36235.35849;6367.036138;233.8547307
36226.9813;6361.575118;235.862845
36218.60412;6356.114099;237.4276072
36210.22693;6350.653079;238.6805778
36201.84974;6345.192059;239.6567967
36193.47256;6339.73104;240.4714362
36185.09537;6334.27002;241.3689088
36176.71818;6328.809;241.2873184
36168.34099;6323.347981;241.1778087
36159.96381;6317.886961;240.9128725
36151.58662;6312.425942;240.8698876
36143.20943;6306.964922;241.1603512
36134.83225;6301.503902;241.7570557
36126.45506;6296.042883;242.5744947
36118.07787;6290.581863;243.4995585
36109.70068;6285.120844;244.7220663
36101.3235;6279.659824;246.1936621
36092.94631;6274.198804;247.7426302
36084.56912;6268.737785;248.8378013
36076.19194;6263.276765;249.6576171
36067.81475;6257.815746;250.1394979
36059.43756;6252.354726;250.218936
36051.06037;6246.893706;249.6069772
36042.68319;6241.432687;248.5030961
36034.306;6235.971667;247.0451595
36025.92881;6230.510648;245.7244894
36017.55163;6225.049628;244.5827414
36009.17444;6219.588608;243.6921429
36000.79725;6214.127589;243.11386
35992.42006;6208.666569;242.8129797
35984.04288;6203.205549;242.6549203
35975.66569;6197.74453;242.4853389
35967.2885;6192.28351;241.8175744
35958.91132;6186.822491;240.6387548
35950.53413;6181.361471;238.9069034
35942.15694;6175.900451;236.5746894
35933.77975;6170.439432;233.9974925
35925.40257;6164.978412;231.7676018
35917.02538;6159.517393;230.232769
35908.64819;6154.056373;228.7086372
35900.27101;6148.595353;226.9747039
35891.89382;6143.134334;225.0861177
35883.51663;6137.673314;223.5781655
35875.13944;6132.212295;222.2794964
35866.76226;6126.751275;221.3330132
35858.38507;6121.290255;220.3048926
35850.00788;6115.829236;219.8411007
35841.6307;6110.368216;220.3629273
35833.25351;6104.907197;221.2231142
35824.87632;6099.446177;222.4865819
35816.49913;6093.985157;224.2660579
35808.12195;6088.524138;226.1944322
35799.74476;6083.063118;227.9979888
35791.36757;6077.602098;229.4711905
35782.99039;6072.141079;231.0134874
35774.6132;6066.680059;232.7000161
35766.23601;6061.21904;234.4582268
35757.85882;6055.75802;236.219467
35749.48164;6050.297;238.0309891
35741.10445;6044.835981;239.9854638
35732.72726;6039.374961;241.9532241
35724.35007;6033.913942;242.7254826
35715.97289;6028.452922;243.4287173
35707.5957;6022.991902;243.2458285
35699.21851;6017.530883;242.4038303
35690.84133;6012.069863;241.44065
35682.46414;6006.608844;240.66441
35674.08695;6001.147824;240.1864642
35665.70976;5995.686804;240.2185878
35657.33258;5990.225785;240.4116902
35648.95539;5984.764765;240.0318752
35640.5782;5979.303745;238.8954908
35632.20102;5973.842726;237.0608367
35623.82383;5968.381706;236.716806
35615.44664;5962.920687;235.9578589
35607.06945;5957.459667;234.109074
35598.69227;5951.998647;232.9934026
35590.31508;5946.537628;235.1505002
35581.93789;5941.076608;239.4394967
35573.56071;5935.615589;243.513819
35565.18352;5930.154569;247.0040493
35556.80633;5924.693549;248.9259616
35548.42914;5919.23253;248.9258924
35540.05196;5913.77151;247.9281377
35531.67477;5908.310491;246.9824326
35523.29758;5902.849471;246.4562821
35514.9204;5897.388451;245.5306891
35506.54321;5891.927432;243.8818068
35498.16602;5886.466412;241.9202447
35489.78883;5881.005393;240.3863061
35481.41165;5875.544373;239.0531379
35473.03446;5870.083353;237.3343729
35464.65727;5864.622334;235.4994473
35456.28009;5859.161314;232.8732001
35447.9029;5853.700294;230.5773431
35439.52571;5848.239275;228.0192869
35431.14852;5842.778255;225.8082566
35422.77134;5837.317236;223.6248488
35414.39415;5831.856216;221.875192
35406.01696;5826.395196;218.9934457
35397.63978;5820.934177;215.5860407
35389.26259;5815.473157;211.8437002
35380.8854;5810.012138;207.3793039
35372.50821;5804.551118;202.3145555
35364.13103;5799.090098;197.4371547
35355.75384;5793.629079;195.9055973
35347.37665;5788.168059;196.6784377
35338.99947;5782.70704;197.6916413
35330.62228;5777.24602;198.5617892
35322.24509;5771.785;199.5700513
35313.8679;5766.323981;200.5925978
35305.49072;5760.862961;201.7642488
35297.11353;5755.401942;202.671612
35288.73634;5749.940922;203.4225007
35280.35916;5744.479902;203.7803692
35271.98197;5739.018883;204.35279
35263.60478;5733.557863;204.9381023
35255.22759;5728.096843;205.3479997
35246.85041;5722.635824;206.31436
35238.47322;5717.174804;207.1066334
35230.09603;5711.713785;208.6454554
35221.71884;5706.252765;210.8353196
35213.34166;5700.791745;214.5175879
35204.96447;5695.330726;217.9952346
35196.58728;5689.869706;221.4424598
35188.2101;5684.408687;224.9449651
35179.83291;5678.947667;227.6092289
35171.45572;5673.486647;229.4466045
35163.07853;5668.025628;229.6026093
35154.70135;5662.564608;227.9371901
35146.32416;5657.103589;224.7753929
35137.94697;5651.642569;223.5582527
35129.56979;5646.181549;223.0313126
35121.1926;5640.72053;223.6897365
35112.81541;5635.25951;224.9732971
35104.43822;5629.79849;226.4316247
35096.06104;5624.337471;227.9695343
