17-05-10_15:30:00.000,34200.22,5039.22,538.21,236.73,14.04,329.85,-4.71,-20.42,1.59
17-05-10_15:30:00.000,34200.22,5039.22,558.21,236.73,17.35,335.26,-5.43,-19.91,1.55
17-05-10_15:30:00.000,34200.22,5039.22,578.21,236.73,20.56,341.76,-6.15,-18.32,1.61
17-05-10_15:30:00.000,34200.22,5039.22,598.21,236.73,23.63,349.29,-6.48,-15.42,1.50
17-05-10_15:30:00.000,34200.22,5039.22,618.21,236.73,26.57,357.77,-7.53,-9.49,1.60
17-05-10_15:30:00.000,34200.22,5039.22,638.21,236.73,29.36,367.15,-8.89,-2.82,1.60
17-05-10_15:30:00.000,34200.22,5039.22,658.21,236.73,32.01,377.36,-8.53,-4.07,1.86
17-05-10_15:30:00.000,34200.22,5039.22,678.21,236.73,34.51,388.33,-8.81,-7.40,1.81
17-05-10_15:30:00.000,34200.22,5039.22,698.21,236.73,36.87,400.00,-8.44,-11.88,1.62
17-05-10_15:30:00.000,34200.22,5039.22,718.21,236.73,39.09,412.31,-8.69,-12.55,1.61
17-05-10_15:30:00.000,34200.22,5039.22,738.21,236.73,41.19,425.21,-8.90,-12.50,1.58
17-05-10_15:30:00.000,34200.22,5039.22,758.21,236.73,43.15,438.64,-9.45,-12.79,1.49
17-05-10_15:30:00.000,34183.50,5028.25,418.21,236.73,-6.71,342.35,-1.55,-21.37,1.59
17-05-10_15:30:00.000,34183.50,5028.25,438.21,236.73,-3.37,340.59,-2.28,-21.32,1.70
17-05-10_15:30:00.000,34183.50,5028.25,458.21,236.73,0.00,340.00,-2.60,-21.30,1.57
17-05-10_15:30:00.000,34183.50,5028.25,478.21,236.73,3.37,340.59,-3.36,-20.83,1.62
17-05-10_15:30:00.000,34183.50,5028.25,498.21,236.73,6.71,342.35,-4.17,-20.82,1.62
17-05-10_15:30:00.000,34183.50,5028.25,518.21,236.73,10.01,345.26,-4.65,-20.84,1.50
17-05-10_15:30:00.000,34183.50,5028.25,538.21,236.73,13.24,349.29,-4.79,-20.36,1.54
17-05-10_15:30:00.000,34183.50,5028.25,558.21,236.73,16.39,354.40,-5.47,-19.81,1.54
17-05-10_15:30:00.000,34183.50,5028.25,578.21,236.73,19.44,360.56,-6.29,-18.22,1.60
17-05-10_15:30:00.000,34183.50,5028.25,598.21,236.73,22.38,367.70,-6.78,-15.18,1.61
17-05-10_15:30:00.000,34183.50,5028.25,618.21,236.73,25.20,375.77,-7.41,-9.46,1.51
17-05-10_15:30:00.000,34183.50,5028.25,638.21,236.73,27.90,384.71,-9.10,-2.32,1.69
17-05-10_15:30:00.000,34183.50,5028.25,658.21,236.73,30.47,394.46,-9.08,-2.32,1.86
17-05-10_15:30:00.000,34183.50,5028.25,678.21,236.73,32.91,404.97,-9.09,-7.45,1.78
17-05-10_15:30:00.000,34183.50,5028.25,698.21,236.73,35.22,416.18,-8.42,-11.19,1.54
17-05-10_15:30:00.000,34183.50,5028.25,718.21,236.73,37.41,428.02,-8.65,-12.51,1.61
17-05-10_15:30:00.000,34183.50,5028.25,738.21,236.73,39.47,440.46,-9.23,-12.15,1.38
17-05-10_15:30:00.000,34183.50,5028.25,758.21,236.73,41.42,453.43,-9.42,-14.18,1.35
17-05-10_15:30:00.000,34183.50,5028.25,778.21,236.73,43.26,466.91,-9.35,-16.03,1.61
17-05-10_15:30:00.000,34166.77,5017.28,418.21,236.73,-6.34,362.22,-1.40,-21.28,1.50
17-05-10_15:30:00.000,34166.77,5017.28,438.21,236.73,-3.18,360.56,-2.02,-21.29,1.56
17-05-10_15:30:00.000,34166.77,5017.28,458.21,236.73,-0.00,360.00,-2.44,-21.15,1.60
17-05-10_15:30:00.000,34166.77,5017.28,478.21,236.73,3.18,360.56,-3.53,-20.55,1.65
17-05-10_15:30:00.000,34166.77,5017.28,498.21,236.73,6.34,362.22,-4.12,-20.64,1.60
17-05-10_15:30:00.000,34166.77,5017.28,518.21,236.73,9.46,364.97,-4.40,-20.53,1.65
17-05-10_15:30:00.000,34166.77,5017.28,538.21,236.73,12.53,368.78,-4.75,-20.16,1.58
17-05-10_15:30:00.000,34166.77,5017.28,558.21,236.73,15.52,373.63,-5.50,-19.54,1.64
17-05-10_15:30:00.000,34166.77,5017.28,578.21,236.73,18.44,379.47,-5.99,-17.58,1.50
17-05-10_15:30:00.000,34166.77,5017.28,598.21,236.73,21.25,386.27,-7.04,-15.08,1.57
17-05-10_15:30:00.000,34166.77,5017.28,618.21,236.73,23.96,393.96,-7.48,-9.31,1.59
17-05-10_15:30:00.000,34166.77,5017.28,638.21,236.73,26.56,402.50,-9.15,-2.11,1.69
17-05-10_15:30:00.000,34166.77,5017.28,658.21,236.73,29.05,411.83,-8.78,-2.04,1.84
17-05-10_15:30:00.000,34166.77,5017.28,678.21,236.73,31.43,421.90,-9.33,-7.24,1.69
17-05-10_15:30:00.000,34166.77,5017.28,698.21,236.73,33.69,432.67,-8.55,-9.69,1.55
17-05-10_15:30:00.000,34166.77,5017.28,718.21,236.73,35.84,444.07,-8.69,-11.26,1.52
17-05-10_15:30:00.000,34166.77,5017.28,738.21,236.73,37.87,456.07,-9.81,-13.27,1.39
17-05-10_15:30:00.000,34166.77,5017.28,758.21,236.73,39.81,468.62,-9.92,-13.23,1.55
17-05-10_15:30:00.000,34166.77,5017.28,778.21,236.73,41.63,481.67,-9.46,-16.31,1.50
17-05-10_15:30:00.000,34166.77,5017.28,798.21,236.73,43.36,495.18,-9.60,-17.88,1.43
17-05-10_15:30:00.000,34150.05,5006.30,418.21,236.73,-6.01,382.10,-1.08,-21.13,1.62
17-05-10_15:30:00.000,34150.05,5006.30,438.21,236.73,-3.01,380.53,-1.78,-21.06,1.55
17-05-10_15:30:00.000,34150.05,5006.30,458.21,236.73,-0.00,380.00,-2.18,-20.98,1.65
17-05-10_15:30:00.000,34150.05,5006.30,478.21,236.73,3.01,380.53,-3.26,-20.43,1.57
17-05-10_15:30:00.000,34150.05,5006.30,498.21,236.73,6.01,382.10,-3.55,-20.60,1.65
17-05-10_15:30:00.000,34150.05,5006.30,518.21,236.73,8.97,384.71,-3.86,-20.36,1.54
17-05-10_15:30:00.000,34150.05,5006.30,538.21,236.73,11.89,388.33,-4.65,-19.96,1.50
17-05-10_15:30:00.000,34150.05,5006.30,558.21,236.73,14.74,392.94,-5.47,-19.40,1.50
